Transcript Sense_junction_reads Antisense_junction_reads
BL13116_cuf1 1 0
BL13123_cuf3 1 0
BL13131_cuf3 1 0
BL13142_cuf11 3 0
BL13164_cuf0 1 0
BL13180_cuf0 5 0
BL13196_cuf1 1 0
BL13233_cuf1 1 0
BL13235_evm0 1 0
BL13238_cuf3 1 0
BL13310_cuf3 2 0
BL13311_cuf0 1 0
BL13335_evm4 1 0
BL13341_cuf8 5 0
BL13350_cuf0 1 0
BL13383_cuf2 2 0
BL13429_cuf0 9 0
BL13430_cuf1 1 0
BL13434_cuf5 1 0
BL13490_evm0 6 0
BL13500_cuf1 1 0
BL13504_cuf0 1 0
BL13513_cuf0 1 0
BL13515_evm2 3 0
BL13519_evm17 2 0
BL13531_cuf3 2 0
BL13548_evm0 7 0
BL13552_cuf0 0 1
BL13558_evm0 1 0
BL13564_cuf1 1 0
BL13567_evm2 1 0
BL13586_evm14 2 0
BL13587_cuf2 1 0
BL13605_evm0 6 0
BL13627_cuf4 1 0
BL13630_cuf0 1 0
BL13636_cuf1 1 0
BL13654_cuf0 1 0
BL13668_evm7 25 0
BL13745_cuf0 1 0
BL13748_cuf5 2 0
BL13775_cuf1 1 0
BL13798_evm0 1 0
BL13821_evm6 1 0
BL13826_cuf5 1 0
BL13830_cuf1 1 0
BL13842_evm0 1 0
BL13846_cuf0 4 0
BL13863_cuf2 1 0
BL13875_evm4 1 0
BL13877_cuf0 1 0
BL13895_evm2 3 0
BL13982_cuf2 1 0
BL13987_cuf5 1 0
BL13988_cuf1 4 0
BL13991_evm0 1 0
BL14000_cuf8 1 0
BL14014_cuf3 1 0
BL14048_cuf0 18 0
BL14062_cuf14 1 0
BL14063_evm9 2 0
BL14085_cuf1 1 0
BL14090_cuf3 1 0
BL14103_cuf0 2 0
BL14110_cuf0 1 0
BL14127_cuf0 4 0
BL14132_cuf3 2 0
BL14180_evm1 2 0
BL14190_evm0 3 0
BL14192_cuf0 1 0
BL14196_cuf1 2 0
BL14210_cuf0 1 0
BL14238_cuf0 1 0
BL14264_evm0 2 0
BL14279_evm0 1 0
BL14299_cuf4 99 0
BL14311_cuf1 1 0
BL14328_cuf3 46 0
BL14357_cuf0 6 0
BL14363_cuf0 3 0
BL14385_evm0 1 0
BL14393_evm0 1 0
BL14407_evm0 1 0
BL14422_evm0 42 0
BL14426_cuf8 2 0
BL14449_evm0 1 0
BL14482_cuf28 2 0
BL14498_cuf0 1 0
BL14526_evm6 3 0
BL14596_cuf0 1 0
BL14625_evm0 1 0
BL14641_cuf2 2 0
BL14643_cuf1 1 0
BL14665_cuf0 1 0
BL14693_cuf0 2 0
BL14696_cuf0 17 0
BL14705_cuf0 1 0
BL14709_cuf0 1 0
BL14716_cuf0 1 0
BL14726_cuf0 0 1
BL14756_evm0 1 0
BL14795_evm15 2 0
BL14809_cuf0 1 0
BL14811_cuf0 3 0
BL14815_cuf1 1 0
BL14818_cuf2 1 0
BL14844_cuf1 0 1
BL14847_evm0 1 0
BL14855_cuf1 6 0
BL14881_evm2 1 0
BL14888_evm1 2 0
BL14898_cuf3 1 0
BL14972_cuf0 1 0
BL14977_cuf0 2 0
BL15020_evm0 3 0
BL15029_evm5 2 0
BL15039_cuf0 2 0
BL15107_evm2 5 0
BL15123_cuf1 4 0
BL15125_cuf3 1 0
BL15135_evm0 3 0
BL15136_evm4 1 0
BL15146_cuf0 1 0
BL15158_evm0 1 0
BL15187_evm0 1 0
BL15199_cuf1 1 0
BL15211_cuf0 1 0
BL15233_cuf0 1 0
BL15265_evm7 2 0
BL15273_cuf1 1 0
BL15304_evm3 1 0
BL15309_cuf1 1 0
BL15311_cuf0 1 0
BL15332_evm1 1 0
BL15347_cuf0 3 0
BL15350_cuf3 1 0
BL15367_cuf2 1 0
BL15370_cuf4 1 0
BL15375_cuf0 5 0
BL15378_cuf0 1 0
BL15399_cuf0 1 0
BL15441_cuf1 36 0
BL15448_cuf10 4 0
BL15470_evm1 3 0
BL15517_cuf3 2 0
BL15552_evm0 4 0
BL15619_cuf0 1 0
BL15631_cuf1 3 0
BL15645_evm6 2 0
BL15678_cuf0 1 0
BL15729_cuf0 1 0
BL15734_cuf0 2 0
BL15751_evm0 1 0
BL15753_evm0 3 0
BL15756_cuf27 5 0
BL15770_cuf1 1 0
BL15788_cuf0 0 3
BL15825_evm12 2 0
BL15830_evm0 1 0
BL15831_cuf0 9 0
BL15847_evm5 1 0
BL15848_cuf2 1 0
BL15849_cuf5 1 0
BL15852_evm5 3 0
BL15862_cuf0 5 0
BL15907_cuf0 3 0
BL15922_evm0 1 0
BL15941_evm0 1 0
BL15952_cuf0 1 0
BL15962_cuf0 2 0
BL15967_cuf0 1 0
BL16027_cuf0 1 0
BL16029_cuf0 1 0
BL16037_evm0 2 0
BL16055_cuf10 3 0
BL16080_evm3 2 0
BL16083_evm1 1 0
BL16099_cuf0 1 0
BL16118_cuf2 1 0
BL16120_evm6 0 32
BL16147_cuf4 1 0
BL16156_cuf0 1 0
BL16158_cuf1 1 0
BL16165_cuf7 1 0
BL16167_cuf6 1 0
BL16168_cuf1 9 0
BL16215_cuf0 2 0
BL16220_cuf1 1 0
BL16223_cuf10 2 0
BL16235_cuf0 1 0
BL16257_evm0 1 0
BL16301_cuf4 3 0
BL16318_cuf1 1 0
BL16325_cuf0 3 0
BL16327_cuf3 1 0
BL16328_evm0 3 0
BL16362_evm3 1 0
BL16372_cuf1 3 0
BL16376_cuf9 1 0
BL16392_evm0 3 0
BL16412_cuf0 1 0
BL16431_cuf0 1 0
BL16447_cuf2 2 0
BL16468_cuf1 1 0
BL16497_cuf1 2390 0
BL16498_evm2 2 0
BL16516_evm0 12 0
BL16517_cuf1 1 0
BL16533_cuf5 3 0
BL16565_cuf2 4 0
BL16569_cuf1 3 0
BL16570_cuf1 1 0
BL16578_cuf3 1 0
BL16614_cuf0 1 0
BL16619_evm0 2 0
BL16625_cuf0 2 0
BL16635_cuf5 2 0
BL16655_cuf0 1 0
BL16682_cuf6 1 0
BL16688_evm0 1 0
BL16701_evm6 1 0
BL16748_cuf0 2 0
BL16771_evm1 1 0
BL16785_cuf0 1 0
BL16792_evm4 3 0
BL16801_cuf7 1 0
BL16803_evm0 9 0
BL16808_evm0 1 0
BL16815_cuf0 3 0
BL16845_evm2 1 0
BL16848_evm0 1 0
BL16884_cuf5 1 0
BL16895_cuf0 1 0
BL16900_cuf1 1 0
BL16917_cuf4 2 0
